incident_type,city,state,date_time,year,data type,subject_race,gender,subject_ethnicity,block_address,district,psa,age
Stop & Frisk,"Washington, D.C.",DC,1/20/10 11:19,2010,Person,Black,Female,Not Hispanic Or Latino,1800 B/O CONSTITUTION AVE NE,1D,108.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/20/10 11:19,2010,Person,Black,Female,Hispanic Or Latino,1800 B/O CONSTITUTION AVE NE,1D,108.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/20/10 11:19,2010,Person,Black,Female,Not Hispanic Or Latino,1800 B/O CONSTITUTION AVE NE,1D,108.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/20/10 11:19,2010,Person,Black,Female,Not Hispanic Or Latino,1800 B/O CONSTITUTION AVE NE,1D,108.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/20/10 22:39,2010,Person,Black,Male,Not Hispanic Or Latino,4900 B/O 12TH ST NE,4D,405.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/20/10 23:17,2010,,,,,300 B/O 15TH ST NW,1D,101.0,
Stop & Frisk,"Washington, D.C.",DC,1/21/10 4:00,2010,Person,Black,Female,Not Hispanic Or Latino,13TH ST NW / O ST NW,3D,307.0,21
Stop & Frisk,"Washington, D.C.",DC,1/21/10 4:00,2010,Person,Unknown,Male,Hispanic Or Latino,13TH ST NW / O ST NW,3D,307.0,26
Stop & Frisk,"Washington, D.C.",DC,1/21/10 9:15,2010,Person,Black,Male,Not Hispanic Or Latino,3700 B/O HAYES ST NE,6D,601.0,24
Stop & Frisk,"Washington, D.C.",DC,1/21/10 20:05,2010,Person,Black,Male,Not Hispanic Or Latino,4700 B/O MARTIN LUTHER KING JR AVE SW,7D,708.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/21/10 20:05,2010,Person,Black,Male,Not Hispanic Or Latino,4700 B/O MARTIN LUTHER KING JR AVE SW,7D,708.0,Juvenile
